order_id,step,status,timestamp,location
5,1,Picked up,2025-01-13T14:15-06:00,"GRAND PRAIRIE, TX"
5,2,On the way,2025-01-13T14:15-06:00,"GRAND PRAIRIE, TX"
5,3,Left FedEx origin facility,2025-01-13T17:40-06:00,"MANSFIELD, TX"
5,4,Arrived at FedEx hub,2025-01-13T18:15-06:00,"FORT WORTH, TX"
5,5,Departed FedEx hub,2025-01-13T21:09-06:00,"FORT WORTH, TX"
5,6,Arrived at FedEx hub,2025-01-13T22:14-06:00,"MEMPHIS, TN"
5,7,On the way,2025-01-14T03:33-06:00,"MEMPHIS, TN"
5,8,Departed FedEx hub,2025-01-14T03:47-06:00,"MEMPHIS, TN"
5,9,Arrived at FedEx hub,2025-01-14T18:56+01:00,ROISSY CHARLES DE GAULLE CEDEX FR
5,10,On the way,2025-01-14T21:03+01:00,ROISSY CHARLES DE GAULLE CEDEX FR
5,11,On the way,2025-01-15T03:28+01:00,ROISSY CHARLES DE GAULLE CEDEX FR
5,12,Departed FedEx hub,2025-01-15T04:17+01:00,ROISSY CHARLES DE GAULLE CEDEX FR
5,13,At destination sort facility,2025-01-15T05:25+01:00,LONATE POZZOLO IT
5,14,On the way,2025-01-15T06:06+01:00,LONATE POZZOLO IT
5,15,At local FedEx facility,2025-01-15T09:04+01:00,GRASSOBBIO IT
5,16,On FedEx vehicle for delivery,2025-01-15T09:17+01:00,GRASSOBBIO IT
5,17,Delivered,2025-01-15T12:49+01:00,"GAZZANIGA, IT"
8,1,Picked up,2025-01-21T20:48-06:00,"GRAND PRAIRIE, TX"
8,2,Left FedEx origin facility,2025-01-21T21:00-06:00,"MANSFIELD, TX"
8,3,Arrived at FedEx hub,2025-01-22T01:30-06:00,"MEMPHIS, TN"
8,4,On the way,2025-01-22T02:22-06:00,"MEMPHIS, TN"
8,5,On the way,2025-01-22T04:03-06:00,"MEMPHIS, TN"
8,6,Departed FedEx hub,2025-01-22T04:08-06:00,"MEMPHIS, TN"
8,7,Arrived at FedEx hub,2025-01-22T18:50+01:00,ROISSY CHARLES DE GAULLE CEDEX FR
8,8,On the way,2025-01-22T19:39+01:00,ROISSY CHARLES DE GAULLE CEDEX FR
8,9,At local FedEx facility,2025-01-22T23:00+01:00,ROISSY CHARLES DE GAULLE CEDEX FR
8,10,On the way,2025-01-23T03:45+01:00,ROISSY CHARLES DE GAULLE CEDEX FR
8,11,Departed FedEx hub,2025-01-23T04:20+01:00,ROISSY CHARLES DE GAULLE CEDEX FR
8,12,At destination sort facility,2025-01-23T05:24+01:00,LONATE POZZOLO IT
8,13,On the way,2025-01-23T06:39+01:00,LONATE POZZOLO IT
8,14,Departed FedEx hub,2025-01-23T07:24+01:00,LONATE POZZOLO IT
8,15,At local FedEx facility,2025-01-23T08:51+01:00,GRASSOBBIO IT
8,16,On FedEx vehicle for delivery,2025-01-23T09:49+01:00,GRASSOBBIO IT
8,17,Delivered,2025-01-23T14:30+01:00,"GAZZANIGA, IT"
12,1,Picked up,2025-01-24T17:07-06:00,"GRAND PRAIRIE, TX"
12,2,On the way,2025-01-24T17:07-06:00,"GRAND PRAIRIE, TX"
12,3,Left FedEx origin facility,2025-01-24T17:40-06:00,"MANSFIELD, TX"
12,4,Arrived at FedEx hub,2025-01-24T22:30-06:00,"MEMPHIS, TN"
12,5,On the way,2025-01-25T04:23-06:00,"MEMPHIS, TN"
12,6,On the way,2025-01-25T04:24-06:00,"MEMPHIS, TN"
12,7,Departed FedEx hub,2025-01-25T05:17-06:00,"MEMPHIS, TN"
12,8,Arrived at FedEx hub,2025-01-25T20:06+01:00,ROISSY CHARLES DE GAULLE CEDEX FR
12,9,On the way,2025-01-25T22:01+01:00,ROISSY CHARLES DE GAULLE CEDEX FR
12,10,On the way,2025-01-25T22:28+01:00,ROISSY CHARLES DE GAULLE CEDEX FR
12,11,Departed FedEx hub,2025-01-26T02:45+01:00,ROISSY CHARLES DE GAULLE CEDEX FR
12,12,Arrived at FedEx hub,2025-01-26T15:45+01:00,LONATE POZZOLO IT
12,13,On the way,2025-01-28T00:01+01:00,LONATE POZZOLO IT
12,14,Departed FedEx hub,2025-01-28T05:40+01:00,LONATE POZZOLO IT
12,15,At local FedEx facility,2025-01-28T08:53+01:00,GRASSOBBIO IT
12,16,On FedEx vehicle for delivery,2025-01-28T09:32+01:00,GRASSOBBIO IT
12,17,Delivered,2025-01-28T12:50+01:00,"GAZZANIGA, IT"
16,1,Picked up,2025-01-27T14:53-06:00,"GRAND PRAIRIE, TX"
16,2,On the way,2025-01-27T14:53-06:00,"GRAND PRAIRIE, TX"
16,3,Left FedEx origin facility,2025-01-27T17:28-06:00,"MANSFIELD, TX"
16,4,Arrived at FedEx hub,2025-01-27T18:30-06:00,"FORT WORTH, TX"
16,5,Departed FedEx hub,2025-01-27T21:05-06:00,"FORT WORTH, TX"
16,6,Arrived at FedEx hub,2025-01-27T22:15-06:00,"MEMPHIS, TN"
16,7,On the way,2025-01-28T03:18-06:00,"MEMPHIS, TN"
16,8,Departed FedEx hub,2025-01-28T03:43-06:00,"MEMPHIS, TN"
16,9,Arrived at FedEx hub,2025-01-28T18:38+01:00,ROISSY CHARLES DE GAULLE CEDEX FR
16,10,On the way,2025-01-28T20:49+01:00,ROISSY CHARLES DE GAULLE CEDEX FR
16,11,On the way,2025-01-29T04:08+01:00,ROISSY CHARLES DE GAULLE CEDEX FR
16,12,Departed FedEx hub,2025-01-29T04:15+01:00,ROISSY CHARLES DE GAULLE CEDEX FR
16,13,At destination sort facility,2025-01-29T05:21+01:00,LONATE POZZOLO IT
16,14,On the way,2025-01-29T06:08+01:00,LONATE POZZOLO IT
16,15,At local FedEx facility,2025-01-29T08:53+01:00,GRASSOBBIO IT
16,16,On FedEx vehicle for delivery,2025-01-29T09:30+01:00,GRASSOBBIO IT
16,17,Delivered,2025-01-29T12:03+01:00,"GAZZANIGA, IT"
17,1,Picked up,2025-02-05T18:08+08:00,ZHUHAI CN
17,2,Left FedEx origin facility,2025-02-05T19:14+08:00,ZHUHAI CN
17,3,On the way,2025-02-06T22:09+08:00,GUANGZHOU CN
17,4,International shipment release - Export,2025-02-06T22:10+08:00,GUANGZHOU CN
17,5,Arrived at FedEx hub,2025-02-06T22:10+08:00,GUANGZHOU CN
17,6,International shipment release - Export,2025-02-06T23:36+08:00,GUANGZHOU CN
17,7,Departed FedEx hub,2025-02-07T05:00+08:00,GUANGZHOU CN
17,8,On the way,2025-02-07T06:18+08:00,GUANGZHOU CN
17,9,On the way,2025-02-07T10:15+05:30,NEW DELHI IN
17,10,On the way,2025-02-07T10:23+05:30,NEW DELHI IN
17,11,On the way,2025-02-07T13:59+04:00,DUBAI WORLD CENTRAL (DWC) AE
17,12,On the way,2025-02-07T14:00+04:00,DUBAI WORLD CENTRAL AE
17,13,Arrived at FedEx hub,2025-02-07T19:19+01:00,ROISSY CHARLES DE GAULLE CEDEX FR
17,14,On the way,2025-02-07T20:55+01:00,ROISSY CHARLES DE GAULLE CEDEX FR
17,15,On the way,2025-02-08T00:17+01:00,ROISSY CHARLES DE GAULLE CEDEX FR
17,16,Departed FedEx hub,2025-02-08T01:45+01:00,ROISSY CHARLES DE GAULLE CEDEX FR
17,17,Arrived at FedEx hub,2025-02-09T10:00+01:00,LONATE POZZOLO IT
17,18,International shipment release - Import,2025-02-09T11:10+01:00,LONATE POZZOLO IT
17,19,International shipment release - Import,2025-02-09T15:20+01:00,LONATE POZZOLO IT
17,20,On the way,2025-02-09T15:20+01:00,LONATE POZZOLO IT
17,21,Departed FedEx hub,2025-02-09T20:30+01:00,LONATE POZZOLO IT
17,22,At local FedEx facility,2025-02-10T08:15+01:00,GRASSOBBIO IT
17,23,On FedEx vehicle for delivery,2025-02-10T09:27+01:00,GRASSOBBIO IT
17,24,Delivered,2025-02-10T10:19+01:00,"GAZZANIGA, IT"
22,1,Picked up,2025-02-08T10:58-06:00,"GRAND PRAIRIE, TX"
22,2,Left FedEx origin facility,2025-02-08T13:35-06:00,"MANSFIELD, TX"
22,3,Arrived at FedEx hub,2025-02-09T04:04-06:00,"MEMPHIS, TN"
22,4,On the way,2025-02-09T16:59-06:00,"MEMPHIS, TN"
22,5,Departed FedEx hub,2025-02-09T18:29-06:00,"MEMPHIS, TN"
22,6,Arrived at FedEx hub,2025-02-10T09:50+01:00,ROISSY CHARLES DE GAULLE CEDEX FR
22,7,On the way,2025-02-10T17:38+01:00,ROISSY CHARLES DE GAULLE CEDEX FR
22,8,On the way,2025-02-10T20:17+01:00,ROISSY CHARLES DE GAULLE CEDEX FR
22,9,Departed FedEx hub,2025-02-10T20:47+01:00,ROISSY CHARLES DE GAULLE CEDEX FR
22,10,At destination sort facility,2025-02-10T22:03+01:00,LONATE POZZOLO IT
22,11,On the way,2025-02-10T23:56+01:00,LONATE POZZOLO IT
22,12,At local FedEx facility,2025-02-11T09:59+01:00,LONATE POZZOLO IT
22,13,Departed FedEx hub,2025-02-12T02:47+01:00,LONATE POZZOLO IT
22,14,At local FedEx facility,2025-02-12T07:51+01:00,GRASSOBBIO IT
22,15,On FedEx vehicle for delivery,2025-02-12T09:01+01:00,GRASSOBBIO IT
22,16,Delivered,2025-02-12T14:23+01:00,"GAZZANIGA, IT"
1,1,Spedizione ritirata,2025-01-14T17:16+08:00,"DONGGUAN , CHINA, PEOPLES REPUBLIC"
1,2,"Spedizione in transito - DONGGUAN - CHINA, PEOPLES REPUBLIC",2025-01-15T01:40+08:00,"DONGGUAN , CHINA, PEOPLES REPUBLIC"
1,3,"La spedizione e' partita da una sede DHL DONGGUAN - CHINA, PEOPLES REPUBLIC",2025-01-15T02:05+08:00,"DONGGUAN , CHINA, PEOPLES REPUBLIC"
1,4,"Spedizione arrivata presso il centro di smistamento DHL SHENZHEN - CHINA, PEOPLES REPUBLIC",2025-01-15T05:46+08:00,"SHENZHEN , CHINA, PEOPLES REPUBLIC"
1,5,"Spedizione in transito - SHENZHEN - CHINA, PEOPLES REPUBLIC",2025-01-15T12:16+08:00,"SHENZHEN , CHINA, PEOPLES REPUBLIC"
1,6,"Spedizione in transito - SHENZHEN - CHINA, PEOPLES REPUBLIC",2025-01-16T01:07+08:00,"SHENZHEN , CHINA, PEOPLES REPUBLIC"
1,7,"La spedizione e' partita da una sede DHL SHENZHEN - CHINA, PEOPLES REPUBLIC",2025-01-16T12:03+08:00,"SHENZHEN , CHINA, PEOPLES REPUBLIC"
1,8,La spedizione e' in transito,2025-01-17T00:01+01:00,"BRUSSELS , BELGIUM"
1,9,La spedizione e' partita da una sede DHL BRUSSELS - BELGIUM,2025-01-17T00:02+01:00,"BRUSSELS , BELGIUM"
1,10,Spedizione arrivata presso il centro di smistamento DHL LEIPZIG - GERMANY,2025-01-17T02:01+01:00,"LEIPZIG , GERMANY"
1,11,Spedizione in transito - LEIPZIG - GERMANY,2025-01-17T02:37+01:00,"LEIPZIG , GERMANY"
1,12,La spedizione e' partita da una sede DHL LEIPZIG - GERMANY,2025-01-17T05:02+01:00,"LEIPZIG , GERMANY"
1,13,Spedizione arrivata presso il centro di smistamento DHL BRESCIA - ITALY,2025-01-17T06:29+01:00,"BRESCIA , ITALY"
1,14,Spedizione in transito - BRESCIA - ITALY,2025-01-17T07:03+01:00,"BRESCIA , ITALY"
1,15,La spedizione e' partita da una sede DHL BRESCIA - ITALY,2025-01-17T08:15+01:00,"BRESCIA , ITALY"
1,16,Spedizione arrivata presso la filiale di consegna DHL. BERGAMO - ITALY,2025-01-17T08:59+01:00,"BERGAMO , ITALY"
1,17,Spedizione in transito - BERGAMO - ITALY,2025-01-17T09:24+01:00,"BERGAMO , ITALY"
1,18,La spedizione e' in fase di consegna,2025-01-17T09:28+01:00,"BERGAMO , ITALY"
1,19,Spedizione Consegnata,2025-01-17T11:40+01:00,"GAZZANIGA, IT"
21,1,Shipment picked up,2025-02-05T16:16+08:00,"HONG KONG , HONG KONG SAR, CHINA"
21,2,"Arrived at DHL Sort Facility  HONG KONG - HONG KONG SAR, CHINA",2025-02-05T23:07+08:00,"HONG KONG , HONG KONG SAR, CHINA"
21,3,"Processed at HONG KONG - HONG KONG SAR, CHINA",2025-02-06T05:30+08:00,"HONG KONG , HONG KONG SAR, CHINA"
